2020-05-07
2020-07-20,MORELAND,313,160
2020-07-20,WHITTLESEA,253,155
2020-07-20,BANYULE,233,122
2020-07-20,MELTON,219,125
2020-07-20,CASEY,213,78
2020-07-20,YARRA,171,111
2020-07-20,DAREBIN,160,84
2020-07-20,MARIBYRNONG,149,90
2020-07-20,STONNINGTON,144,35
2020-07-20,BOROONDARA,123,38
2020-07-20,HOBSONS BAY,106,58
2020-07-20,MONASH,93,33
2020-07-20,PORT PHILLIP,92,32
2020-07-20,GREATER GEELONG,84,13
2020-07-20,INTERSTATE,82,4
2020-07-20,WHITEHORSE,81,48
2020-07-20,MANNINGHAM,79,36
2020-07-20,GLEN EIRA,77,17
2020-07-20,MORNINGTON PENINSULA,72,7
2020-07-20,GREATER DANDENONG,69,37
2020-07-20,KINGSTON,57,20
2020-07-20,FRANKSTON,54,12
2020-07-20,BAYSIDE,50,14
2020-07-20,CARDINIA,44,17
2020-07-20,NILLUMBIK,41,11
2020-07-20,KNOX,40,12
2020-07-20,YARRA RANGES,36,9
2020-07-20,MITCHELL,33,13
2020-07-20,MAROONDAH,29,12
2020-07-20,BALLARAT,20,9
2020-07-20,GREATER SHEPPARTON,17,2
2020-07-20,GREATER BENDIGO,14,4
2020-07-20,MACEDON RANGES,14,5
2020-07-20,WELLINGTON,13,0
2020-07-20,COLAC OTWAY,12,12
2020-07-20,LATROBE,12,3
2020-07-20,MOIRA,11,0
2020-07-20,SURF COAST,10,1
2020-07-20,BAW BAW,8,3
2020-07-20,SOUTH GIPPSLAND,8,3
2020-07-20,BASS COAST,6,2
2020-07-20,GOLDEN PLAINS,6,5
2020-07-20,HORSHAM,6,3
2020-07-20,MOORABOOL,6,3
2020-07-20,MOUNT ALEXANDER,6,0
2020-07-20,ARARAT,5,0
2020-07-20,CAMPASPE,5,0
2020-07-20,MILDURA,5,0
2020-07-20,OVERSEAS,5,0
2020-07-20,SWAN HILL,5,1
2020-07-20,WARRNAMBOOL,5,0
2020-07-20,LODDON,4,1
2020-07-20,BENALLA,3,0
2020-07-20,GLENELG,3,2
2020-07-20,MANSFIELD,3,0
2020-07-20,NORTHERN GRAMPIANS,3,0
2020-07-20,EAST GIPPSLAND,2,1
2020-07-20,GANNAWARRA,2,0
2020-07-20,HEPBURN,2,0
2020-07-20,MURRINDINDI,2,0
2020-07-20,SOUTHERN GRAMPIANS,2,0
2020-07-20,STRATHBOGIE,2,0
2020-07-20,WANGARATTA,2,0
2020-07-20,ALPINE,1,0
2020-07-20,CENTRAL GOLDFIELDS,1,0
2020-07-20,CORANGAMITE,1,0
2020-07-20,MOYNE,1,0
2020-07-20,WEST WIMMERA,1,0
2020-07-20,WODONGA,1,0
2020-07-20,YARRIAMBIACK,1,0
2020-07-20,BULOKE,0,0
2020-07-20,HINDMARSH,0,0
2020-07-20,INDIGO,0,0
2020-07-20,PYRENEES,0,0
2020-07-20,QUEENSCLIFFE,0,0
2020-07-20,TOWONG,0,0
2020-07-20,UNKNOWN,51,49
2020-07-20,Total ,5942,2913
2020-07-21
2020-07-21,HUME,626,308
2020-07-21,WYNDHAM,588,370
2020-07-21,BRIMBANK,495,289
2020-07-21,MELBOURNE,462,272
2020-07-21,MOONEE VALLEY,402,212
2020-07-21,MORELAND,349,191
2020-07-21,WHITTLESEA,270,166
2020-07-21,BANYULE,242,130
2020-07-21,CASEY,240,103
2020-07-21,MELTON,233,135
2020-07-21,YARRA,183,119
2020-07-21,DAREBIN,168,88
2020-07-21,MARIBYRNONG,161,95
2020-07-21,STONNINGTON,146,38
2020-07-21,BOROONDARA,129,43
2020-07-21,HOBSONS BAY,113,65
2020-07-21,MONASH,99,37
2020-07-21,PORT PHILLIP,97,34
2020-07-21,GREATER GEELONG,90,18
2020-07-21,INTERSTATE,83,5
2020-07-21,MANNINGHAM,82,39
2020-07-21,WHITEHORSE,82,48
2020-07-21,GLEN EIRA,78,18
2020-07-21,GREATER DANDENONG,76,44
2020-07-21,MORNINGTON PENINSULA,76,11
2020-07-21,KINGSTON,63,26
2020-07-21,FRANKSTON,55,12
2020-07-21,BAYSIDE,51,15
2020-07-21,CARDINIA,45,18
2020-07-21,KNOX,42,14
2020-07-21,NILLUMBIK,41,11
2020-07-21,YARRA RANGES,38,8
2020-07-21,MITCHELL,34,14
2020-07-21,MAROONDAH,31,13
2020-07-21,COLAC OTWAY,27,27
2020-07-21,BALLARAT,20,9
2020-07-21,GREATER SHEPPARTON,17,2
2020-07-21,GREATER BENDIGO,14,4
2020-07-21,MACEDON RANGES,14,4
2020-07-21,SURF COAST,13,4
2020-07-21,WELLINGTON,13,0
2020-07-21,LATROBE,12,3
2020-07-21,MOIRA,11,0
2020-07-21,GOLDEN PLAINS,9,8
2020-07-21,BAW BAW,8,3
2020-07-21,MOORABOOL,8,5
2020-07-21,SOUTH GIPPSLAND,8,3
2020-07-21,HORSHAM,7,4
2020-07-21,BASS COAST,6,1
2020-07-21,MOUNT ALEXANDER,6,0
2020-07-21,ARARAT,5,0
2020-07-21,CAMPASPE,5,0
2020-07-21,MILDURA,5,0
2020-07-21,OVERSEAS,5,0
2020-07-21,SWAN HILL,5,1
2020-07-21,WARRNAMBOOL,5,0
2020-07-21,GLENELG,4,3
2020-07-21,LODDON,4,1
2020-07-21,MANSFIELD,4,1
2020-07-21,BENALLA,3,0
2020-07-21,NORTHERN GRAMPIANS,3,0
2020-07-21,CORANGAMITE,2,1
2020-07-21,EAST GIPPSLAND,2,1
2020-07-21,GANNAWARRA,2,0
2020-07-21,HEPBURN,2,0
2020-07-21,MURRINDINDI,2,0
2020-07-21,SOUTHERN GRAMPIANS,2,0
2020-07-21,STRATHBOGIE,2,0
2020-07-21,WANGARATTA,2,0
2020-07-21,ALPINE,1,0
2020-07-21,CENTRAL GOLDFIELDS,1,0
2020-07-21,MOYNE,1,0
2020-07-21,WEST WIMMERA,1,0
2020-07-21,WODONGA,1,0
2020-07-21,YARRIAMBIACK,1,0
2020-07-21,BULOKE,0,0
2020-07-21,HINDMARSH,0,0
2020-07-21,INDIGO,0,0
2020-07-21,PYRENEES,0,0
2020-07-21,QUEENSCLIFFE,0,0
2020-07-21,TOWONG,0,0
2020-07-21,UNKNOWN,56,53
2020-07-21,TOTAL,6289,3147
2020-07-22
2020-07-22,HUME,666,329
2020-07-22,WYNDHAM,651,412
2020-07-22,BRIMBANK,579,358
2020-07-22,MELBOURNE,495,275
2020-07-22,MOONEE VALLEY,417,206
2020-07-22,MORELAND,374,207
2020-07-22,WHITTLESEA,305,190
2020-07-22,BANYULE,264,145
2020-07-22,MELTON,253,147
2020-07-22,CASEY,247,106
2020-07-22,YARRA,198,127
2020-07-22,MARIBYRNONG,174,103
2020-07-22,DAREBIN,172,85
2020-07-22,STONNINGTON,147,35
2020-07-22,BOROONDARA,134,46
2020-07-22,HOBSONS BAY,117,65
2020-07-22,MONASH,107,40
2020-07-22,PORT PHILLIP,99,35
2020-07-22,GREATER GEELONG,91,18
2020-07-22,GREATER DANDENONG,86,54
2020-07-22,WHITEHORSE,85,50
2020-07-22,INTERSTATE,84,6
2020-07-22,MANNINGHAM,83,39
2020-07-22,GLEN EIRA,81,21
2020-07-22,MORNINGTON PENINSULA,76,11
2020-07-22,KINGSTON,71,33
2020-07-22,FRANKSTON,56,13
2020-07-22,BAYSIDE,52,16
2020-07-22,NILLUMBIK,51,21
2020-07-22,CARDINIA,46,19
2020-07-22,KNOX,46,18
2020-07-22,YARRA RANGES,41,11
2020-07-22,MAROONDAH,34,15
2020-07-22,MITCHELL,34,13
2020-07-22,COLAC OTWAY,26,26
2020-07-22,BALLARAT,21,10
2020-07-22,GREATER SHEPPARTON,17,2
2020-07-22,GREATER BENDIGO,14,4
2020-07-22,MACEDON RANGES,14,4
2020-07-22,LATROBE,13,4
2020-07-22,WELLINGTON,13,0
2020-07-22,SURF COAST,12,2
2020-07-22,MOIRA,11,0
2020-07-22,BAW BAW,9,4
2020-07-22,GOLDEN PLAINS,9,8
2020-07-22,MOORABOOL,8,5
2020-07-22,SOUTH GIPPSLAND,8,3
2020-07-22,HORSHAM,7,4
2020-07-22,BASS COAST,6,1
2020-07-22,MOUNT ALEXANDER,6,0
2020-07-22,SWAN HILL,6,2
2020-07-22,ARARAT,5,0
2020-07-22,CAMPASPE,5,0
2020-07-22,MILDURA,5,0
2020-07-22,OVERSEAS,5,0
2020-07-22,WARRNAMBOOL,5,0
2020-07-22,GLENELG,4,3
2020-07-22,LODDON,4,1
2020-07-22,MANSFIELD,4,1
2020-07-22,BENALLA,3,0
2020-07-22,NORTHERN GRAMPIANS,3,0
2020-07-22,EAST GIPPSLAND,2,1
2020-07-22,GANNAWARRA,2,0
2020-07-22,HEPBURN,2,0
2020-07-22,MURRINDINDI,2,0
2020-07-22,SOUTHERN GRAMPIANS,2,0
2020-07-22,STRATHBOGIE,2,0
2020-07-22,WANGARATTA,2,0
2020-07-22,ALPINE,1,0
2020-07-22,CENTRAL GOLDFIELDS,1,0
2020-07-22,CORANGAMITE,1,0
2020-07-22,MOYNE,1,0
2020-07-22,WEST WIMMERA,1,0
2020-07-22,WODONGA,1,0
2020-07-22,YARRIAMBIACK,1,0
2020-07-22,BULOKE,0,0
2020-07-22,HINDMARSH,0,0
2020-07-22,INDIGO,0,0
2020-07-22,PYRENEES,0,0
2020-07-22,QUEENSCLIFFE,0,0
2020-07-22,TOWONG,0,0
2020-07-22,UNKNOWN,59,54
2020-07-22,Total,6739,3408
2020-07-23
2020-07-23,WYNDHAM,694,439
2020-07-23,HUME,693,335
2020-07-23,BRIMBANK,643,411
2020-07-23,MELBOURNE,516,276
2020-07-23,MOONEE VALLEY,433,214
2020-07-23,MORELAND,396,222
2020-07-23,WHITTLESEA,334,213
2020-07-23,MELTON,277,165
2020-07-23,BANYULE,265,140
2020-07-23,CASEY,261,116
2020-07-23,YARRA,205,124
2020-07-23,MARIBYRNONG,186,107
2020-07-23,DAREBIN,181,86
2020-07-23,STONNINGTON,149,35
2020-07-23,BOROONDARA,141,49
2020-07-23,HOBSONS BAY,121,67
2020-07-23,MONASH,109,41
2020-07-23,PORT PHILLIP,102,37
2020-07-23,GREATER DANDENONG,97,63
2020-07-23,GREATER GEELONG,97,23
2020-07-23,MANNINGHAM,89,39
2020-07-23,WHITEHORSE,87,46
2020-07-23,GLEN EIRA,84,24
2020-07-23,INTERSTATE,84,6
2020-07-23,MORNINGTON PENINSULA,77,12
2020-07-23,KINGSTON,72,33
2020-07-23,FRANKSTON,59,15
2020-07-23,BAYSIDE,54,18
2020-07-23,NILLUMBIK,52,22
2020-07-23,KNOX,50,22
2020-07-23,CARDINIA,48,21
2020-07-23,YARRA RANGES,46,16
2020-07-23,MAROONDAH,37,17
2020-07-23,MITCHELL,34,11
2020-07-23,COLAC OTWAY,26,26
2020-07-23,BALLARAT,23,11
2020-07-23,GREATER SHEPPARTON,17,2
2020-07-23,MACEDON RANGES,15,5
2020-07-23,GREATER BENDIGO,14,4
2020-07-23,SURF COAST,14,4
2020-07-23,LATROBE,13,4
2020-07-23,WELLINGTON,13,0
2020-07-23,MOIRA,11,0
2020-07-23,BAW BAW,9,3
2020-07-23,GOLDEN PLAINS,9,8
2020-07-23,MOORABOOL,9,6
2020-07-23,SOUTH GIPPSLAND,8,3
2020-07-23,HORSHAM,7,4
2020-07-23,BASS COAST,6,1
2020-07-23,MOUNT ALEXANDER,6,0
2020-07-23,SWAN HILL,6,2
2020-07-23,ARARAT,5,0
2020-07-23,CAMPASPE,5,0
2020-07-23,MILDURA,5,0
2020-07-23,OVERSEAS,5,0
2020-07-23,WARRNAMBOOL,5,0
2020-07-23,GLENELG,4,3
2020-07-23,LODDON,4,1
2020-07-23,MANSFIELD,4,0
2020-07-23,BENALLA,3,0
2020-07-23,NORTHERN GRAMPIANS,3,0
2020-07-23,WANGARATTA,3,1
2020-07-23,CORANGAMITE,2,1
2020-07-23,EAST GIPPSLAND,2,1
2020-07-23,GANNAWARRA,2,0
2020-07-23,HEPBURN,2,0
2020-07-23,MURRINDINDI,2,0
2020-07-23,SOUTHERN GRAMPIANS,2,0
2020-07-23,STRATHBOGIE,2,0
2020-07-23,ALPINE,1,0
2020-07-23,CENTRAL GOLDFIELDS,1,0
2020-07-23,MOYNE,1,0
2020-07-23,WEST WIMMERA,1,0
2020-07-23,WODONGA,1,0
2020-07-23,YARRIAMBIACK,1,0
2020-07-23,BULOKE,0,0
2020-07-23,HINDMARSH,0,0
2020-07-23,INDIGO,0,0
2020-07-23,PYRENEES,0,0
2020-07-23,QUEENSCLIFFE,0,0
2020-07-23,TOWONG,0,0
2020-07-23,UNKNOWN,80,75
2020-07-23,Total,7125,3630
2020-07-24
2020-07-24,WYNDHAM,730,460
2020-07-24,HUME,717,343
2020-07-24,BRIMBANK,683,436
2020-07-24,MELBOURNE,518,263
2020-07-24,MOONEE VALLEY,449,207
2020-07-24,MORELAND,413,227
2020-07-24,WHITTLESEA,358,228
2020-07-24,MELTON,287,169
2020-07-24,CASEY,276,130
2020-07-24,BANYULE,275,139
2020-07-24,YARRA,211,123
2020-07-24,MARIBYRNONG,195,107
2020-07-24,DAREBIN,184,83
2020-07-24,STONNINGTON,151,36
2020-07-24,BOROONDARA,145,50
2020-07-24,HOBSONS BAY,125,64
2020-07-24,MONASH,112,43
2020-07-24,GREATER DANDENONG,104,70
2020-07-24,GREATER GEELONG,103,29
2020-07-24,PORT PHILLIP,102,35
2020-07-24,WHITEHORSE,93,45
2020-07-24,MANNINGHAM,90,36
2020-07-24,GLEN EIRA,87,27
2020-07-24,INTERSTATE,85,7
2020-07-24,KINGSTON,78,38
2020-07-24,MORNINGTON PENINSULA,78,13
2020-07-24,UNKNOWN,66,62
2020-07-24,FRANKSTON,61,18
2020-07-24,BAYSIDE,59,23
2020-07-24,NILLUMBIK,53,22
2020-07-24,CARDINIA,51,23
2020-07-24,KNOX,51,22
2020-07-24,YARRA RANGES,51,20
2020-07-24,COLAC OTWAY,43,43
2020-07-24,MAROONDAH,38,18
2020-07-24,MITCHELL,34,11
2020-07-24,BALLARAT,23,11
2020-07-24,GREATER SHEPPARTON,17,1
2020-07-24,MACEDON RANGES,16,6
2020-07-24,GREATER BENDIGO,14,4
2020-07-24,SURF COAST,14,4
2020-07-24,LATROBE,13,4
2020-07-24,WELLINGTON,13,0
2020-07-24,MOIRA,11,0
2020-07-24,BAW BAW,9,3
2020-07-24,GOLDEN PLAINS,9,6
2020-07-24,MOORABOOL,9,6
2020-07-24,SOUTH GIPPSLAND,9,4
2020-07-24,HORSHAM,8,5
2020-07-24,MOUNT ALEXANDER,7,1
2020-07-24,BASS COAST,6,1
2020-07-24,SWAN HILL,6,2
2020-07-24,ARARAT,5,0
2020-07-24,CAMPASPE,5,0
2020-07-24,MILDURA,5,0
2020-07-24,OVERSEAS,5,0
2020-07-24,WARRNAMBOOL,5,0
2020-07-24,GLENELG,4,3
2020-07-24,LODDON,4,1
2020-07-24,MANSFIELD,4,0
2020-07-24,BENALLA,3,0
2020-07-24,NORTHERN GRAMPIANS,3,0
2020-07-24,CORANGAMITE,2,1
2020-07-24,EAST GIPPSLAND,2,1
2020-07-24,GANNAWARRA,2,0
2020-07-24,HEPBURN,2,0
2020-07-24,MURRINDINDI,2,0
2020-07-24,SOUTHERN GRAMPIANS,2,0
2020-07-24,STRATHBOGIE,2,0
2020-07-24,WANGARATTA,2,0
2020-07-24,ALPINE,1,0
2020-07-24,CENTRAL GOLDFIELDS,1,0
2020-07-24,MOYNE,1,0
2020-07-24,WEST WIMMERA,1,0
2020-07-24,WODONGA,1,0
2020-07-24,YARRIAMBIACK,1,0
2020-07-24,BULOKE,0,0
2020-07-24,HINDMARSH,0,0
2020-07-24,INDIGO,0,0
2020-07-24,PYRENEES,0,0
2020-07-24,QUEENSCLIFFE,0,0
2020-07-24,TOWONG,0,0
2020-07-24,Total,7405,3734
2020-07-25
2020-07-25,WYNDHAM,756,474
2020-07-25,BRIMBANK,730,481
2020-07-25,HUME,728,338
2020-07-25,MELBOURNE,542,281
2020-07-25,MOONEE VALLEY,473,227
2020-07-25,MORELAND,429,238
2020-07-25,WHITTLESEA,379,245
2020-07-25,MELTON,318,195
2020-07-25,CASEY,296,149
2020-07-25,BANYULE,288,147
2020-07-25,YARRA,218,126
2020-07-25,MARIBYRNONG,205,117
2020-07-25,DAREBIN,193,91
2020-07-25,STONNINGTON,155,39
2020-07-25,BOROONDARA,151,52
2020-07-25,HOBSONS BAY,133,73
2020-07-25,GREATER DANDENONG,118,84
2020-07-25,MONASH,118,49
2020-07-25,PORT PHILLIP,111,42
2020-07-25,GREATER GEELONG,104,29
2020-07-25,WHITEHORSE,97,49
2020-07-25,MANNINGHAM,93,40
2020-07-25,GLEN EIRA,90,28
2020-07-25,INTERSTATE,85,7
2020-07-25,KINGSTON,82,42
2020-07-25,MORNINGTON PENINSULA,80,14
2020-07-25,BAYSIDE,63,26
2020-07-25,FRANKSTON,62,18
2020-07-25,YARRA RANGES,57,26
2020-07-25,KNOX,55,26
2020-07-25,NILLUMBIK,55,24
2020-07-25,CARDINIA,53,24
2020-07-25,COLAC OTWAY,46,46
2020-07-25,MAROONDAH,40,20
2020-07-25,MITCHELL,34,9
2020-07-25,BALLARAT,24,11
2020-07-25,MACEDON RANGES,18,8
2020-07-25,GREATER SHEPPARTON,17,1
2020-07-25,GREATER BENDIGO,14,4
2020-07-25,SURF COAST,14,4
2020-07-25,LATROBE,13,4
2020-07-25,WELLINGTON,13,0
2020-07-25,MOORABOOL,12,9
2020-07-25,MOIRA,11,0
2020-07-25,HORSHAM,10,7
2020-07-25,GOLDEN PLAINS,9,6
2020-07-25,SOUTH GIPPSLAND,9,4
2020-07-25,BAW BAW,9,3
2020-07-25,MOUNT ALEXANDER,7,1
2020-07-25,GLENELG,6,5
2020-07-25,SWAN HILL,6,2
2020-07-25,BASS COAST,6,1
2020-07-25,ARARAT,5,0
2020-07-25,CAMPASPE,5,0
2020-07-25,MILDURA,5,0
2020-07-25,OVERSEAS,5,0
2020-07-25,WARRNAMBOOL,5,0
2020-07-25,LODDON,4,1
2020-07-25,MANSFIELD,4,1
2020-07-25,BENALLA,3,0
2020-07-25,NORTHERN GRAMPIANS,3,0
2020-07-25,EAST GIPPSLAND,2,1
2020-07-25,GANNAWARRA,2,0
2020-07-25,HEPBURN,2,0
2020-07-25,MURRINDINDI,2,0
2020-07-25,SOUTHERN GRAMPIANS,2,0
2020-07-25,STRATHBOGIE,2,0
2020-07-25,WANGARATTA,2,0
2020-07-25,ALPINE,1,0
2020-07-25,CENTRAL GOLDFIELDS,1,0
2020-07-25,CORANGAMITE,1,0
2020-07-25,MOYNE,1,0
2020-07-25,WEST WIMMERA,1,0
2020-07-25,WODONGA,1,0
2020-07-25,YARRIAMBIACK,1,0
2020-07-25,BULOKE,0,0
2020-07-25,HINDMARSH,0,0
2020-07-25,INDIGO,0,0
2020-07-25,PYRENEES,0,0
2020-07-25,QUEENSCLIFFE,0,0
2020-07-25,TOWONG,0,0
2020-07-25,UNKNOWN,49,46
2020-07-25,TOTAL,7744,3995
2020-07-26,LGA,Confirmed cases (ever),Active cases (current)
2020-07-26,WYNDHAM,794,476
2020-07-26,BRIMBANK,784,515
2020-07-26,HUME,763,354
2020-07-26,MELBOURNE,560,279
2020-07-26,MOONEE VALLEY,484,217
2020-07-26,MORELAND,470,271
2020-07-26,WHITTLESEA,409,262
2020-07-26,MELTON,341,211
2020-07-26,CASEY,310,157
2020-07-26,BANYULE,301,153
2020-07-26,YARRA,228,133
2020-07-26,MARIBYRNONG,220,128
2020-07-26,DAREBIN,203,96
2020-07-26,STONNINGTON,160,40
2020-07-26,BOROONDARA,155,52
2020-07-26,HOBSONS BAY,138,76
2020-07-26,MONASH,125,53
2020-07-26,GREATER DANDENONG,122,87
2020-07-26,PORT PHILLIP,114,44
2020-07-26,GREATER GEELONG,106,31
2020-07-26,WHITEHORSE,104,55
2020-07-26,GLEN EIRA,95,31
2020-07-26,MANNINGHAM,94,38
2020-07-26,KINGSTON,86,46
2020-07-26,MORNINGTON PENINSULA,80,13
2020-07-26,FRANKSTON,74,28
2020-07-26,YARRA RANGES,69,37
2020-07-26,BAYSIDE,67,30
2020-07-26,NILLUMBIK,65,34
2020-07-26,KNOX,62,33
2020-07-26,CARDINIA,53,23
2020-07-26,COLAC OTWAY,48,47
2020-07-26,MAROONDAH,45,24
2020-07-26,MITCHELL,36,11
2020-07-26,BALLARAT,24,11
2020-07-26,MACEDON RANGES,18,8
2020-07-26,GREATER SHEPPARTON,17,1
2020-07-26,GREATER BENDIGO,16,6
2020-07-26,SURF COAST,14,4
2020-07-26,LATROBE,13,4
2020-07-26,WELLINGTON,13,0
2020-07-26,MOORABOOL,12,9
2020-07-26,MOIRA,11,0
2020-07-26,HORSHAM,10,7
2020-07-26,BAW BAW,9,3
2020-07-26,GOLDEN PLAINS,9,5
2020-07-26,SOUTH GIPPSLAND,9,4
2020-07-26,GLENELG,7,6
2020-07-26,MOUNT ALEXANDER,7,1
2020-07-26,BASS COAST,6,1
2020-07-26,SWAN HILL,6,2
2020-07-26,WARRNAMBOOL,6,1
2020-07-26,ARARAT,5,0
2020-07-26,CAMPASPE,5,0
2020-07-26,LODDON,5,2
2020-07-26,MILDURA,5,0
2020-07-26,OVERSEAS,5,0
2020-07-26,MANSFIELD,4,1
2020-07-26,BENALLA,3,0
2020-07-26,NORTHERN GRAMPIANS,3,0
2020-07-26,EAST GIPPSLAND,2,1
2020-07-26,GANNAWARRA,2,0
2020-07-26,HEPBURN,2,0
2020-07-26,MURRINDINDI,2,0
2020-07-26,SOUTHERN GRAMPIANS,2,0
2020-07-26,STRATHBOGIE,2,0
2020-07-26,WANGARATTA,2,0
2020-07-26,ALPINE,1,0
2020-07-26,CENTRAL GOLDFIELDS,1,0
2020-07-26,CORANGAMITE,1,0
2020-07-26,MOYNE,1,0
2020-07-26,WEST WIMMERA,1,0
2020-07-26,WODONGA,1,0
2020-07-26,YARRIAMBIACK,1,0
2020-07-26,BULOKE,0,0
2020-07-26,HINDMARSH,0,0
2020-07-26,INDIGO,0,0
2020-07-26,PYRENEES,0,0
2020-07-26,QUEENSCLIFFE,0,0
2020-07-26,TOWONG,0,0
2020-07-26,UNKNOWN,67,63
2020-07-26,INTERSTATE,86,8
2020-07-26,Total,8181,4233
2020-07-27,LGA,Confirmed cases (ever),Active cases (current)
2020-07-27,WYNDHAM,856,519
2020-07-27,BRIMBANK,816,526
2020-07-27,HUME,810,381
2020-07-27,MELBOURNE,585,291
2020-07-27,MOONEE VALLEY,497,219
2020-07-27,WHITTLESEA,486,327
2020-07-27,MORELAND,483,265
2020-07-27,MELTON,375,230
2020-07-27,CASEY,338,178
2020-07-27,BANYULE,305,151
2020-07-27,YARRA,247,149
2020-07-27,MARIBYRNONG,234,131
2020-07-27,DAREBIN,215,100
2020-07-27,STONNINGTON,164,43
2020-07-27,BOROONDARA,160,57
2020-07-27,HOBSONS BAY,140,72
2020-07-27,GREATER DANDENONG,137,99
2020-07-27,MONASH,130,55
2020-07-27,PORT PHILLIP,117,46
2020-07-27,YARRA RANGES,114,80
2020-07-27,WHITEHORSE,108,57
2020-07-27,GREATER GEELONG,107,31
2020-07-27,GLEN EIRA,100,35
2020-07-27,KINGSTON,100,55
2020-07-27,MANNINGHAM,97,38
2020-07-27,INTERSTATE,88,10
2020-07-27,MORNINGTON PENINSULA,81,13
2020-07-27,FRANKSTON,77,30
2020-07-27,NILLUMBIK,70,38
2020-07-27,BAYSIDE,67,30
2020-07-27,KNOX,67,36
2020-07-27,CARDINIA,58,27
2020-07-27,UNKNOWN,54,48
2020-07-27,MAROONDAH,52,31
2020-07-27,COLAC OTWAY,51,50
2020-07-27,MITCHELL,39,13
2020-07-27,BALLARAT,24,10
2020-07-27,MACEDON RANGES,20,10
2020-07-27,GREATER BENDIGO,18,8
2020-07-27,GREATER SHEPPARTON,17,0
2020-07-27,LATROBE,15,6
2020-07-27,SURF COAST,13,4
2020-07-27,WELLINGTON,13,0
2020-07-27,MOORABOOL,12,9
2020-07-27,HORSHAM,11,7
2020-07-27,MOIRA,11,0
2020-07-27,BAW BAW,9,3
2020-07-27,GOLDEN PLAINS,9,5
2020-07-27,SOUTH GIPPSLAND,9,4
2020-07-27,GLENELG,7,6
2020-07-27,MOUNT ALEXANDER,7,1
2020-07-27,BASS COAST,6,1
2020-07-27,SWAN HILL,6,2
2020-07-27,WARRNAMBOOL,6,1
2020-07-27,ARARAT,5,0
2020-07-27,CAMPASPE,5,0
2020-07-27,LODDON,5,2
2020-07-27,MILDURA,5,0
2020-07-27,OVERSEAS,5,0
2020-07-27,MANSFIELD,4,0
2020-07-27,BENALLA,3,0
2020-07-27,NORTHERN GRAMPIANS,3,0
2020-07-27,EAST GIPPSLAND,2,1
2020-07-27,GANNAWARRA,2,0
2020-07-27,HEPBURN,2,0
2020-07-27,MURRINDINDI,2,0
2020-07-27,SOUTHERN GRAMPIANS,2,0
2020-07-27,STRATHBOGIE,2,0
2020-07-27,WANGARATTA,2,0
2020-07-27,WODONGA,2,1
2020-07-27,ALPINE,1,0
2020-07-27,CENTRAL GOLDFIELDS,1,0
2020-07-27,CORANGAMITE,1,0
2020-07-27,MOYNE,1,0
2020-07-27,WEST WIMMERA,1,0
2020-07-27,YARRIAMBIACK,1,0
2020-07-27,BULOKE,0,0
2020-07-27,HINDMARSH,0,0
2020-07-27,INDIGO,0,0
2020-07-27,PYRENEES,0,0
2020-07-27,QUEENSCLIFFE,0,0
2020-07-27,TOWONG,0,0
2020-07-27,Total,8696,4542
2020-07-28
2020-07-28,WYNDHAM,891,535
2020-07-28,BRIMBANK,871,571
2020-07-28,HUME,826,392
2020-07-28,MELBOURNE,593,287
2020-07-28,MOONEE VALLEY,503,218
2020-07-28,WHITTLESEA,501,334
2020-07-28,MORELAND,497,274
2020-07-28,MELTON,397,245
2020-07-28,CASEY,348,185
2020-07-28,BANYULE,309,144
2020-07-28,YARRA,259,155
2020-07-28,MARIBYRNONG,249,143
2020-07-28,DAREBIN,228,104
2020-07-28,STONNINGTON,170,49
2020-07-28,BOROONDARA,164,58
2020-07-28,GREATER DANDENONG,162,124
2020-07-28,HOBSONS BAY,149,80
2020-07-28,MONASH,136,59
2020-07-28,PORT PHILLIP,120,47
2020-07-28,YARRA RANGES,119,83
2020-07-28,GREATER GEELONG,111,35
2020-07-28,WHITEHORSE,110,58
2020-07-28,GLEN EIRA,104,38
2020-07-28,KINGSTON,103,57
2020-07-28,MANNINGHAM,99,40
2020-07-28,INTERSTATE,89,10
2020-07-28,UNKNOWN,82,76
2020-07-28,MORNINGTON PENINSULA,81,12
2020-07-28,FRANKSTON,76,29
2020-07-28,NILLUMBIK,73,40
2020-07-28,BAYSIDE,68,30
2020-07-28,KNOX,68,38
2020-07-28,CARDINIA,59,28
2020-07-28,COLAC OTWAY,55,54
2020-07-28,MAROONDAH,54,33
2020-07-28,MITCHELL,41,15
2020-07-28,BALLARAT,24,10
2020-07-28,MACEDON RANGES,22,12
2020-07-28,GREATER BENDIGO,21,11
2020-07-28,GREATER SHEPPARTON,17,0
2020-07-28,LATROBE,15,6
2020-07-28,MOORABOOL,14,11
2020-07-28,SURF COAST,13,3
2020-07-28,WELLINGTON,13,0
2020-07-28,MOIRA,11,0
2020-07-28,GOLDEN PLAINS,10,6
2020-07-28,HORSHAM,10,7
2020-07-28,BAW BAW,9,3
2020-07-28,SOUTH GIPPSLAND,9,4
2020-07-28,BASS COAST,7,2
2020-07-28,GLENELG,7,6
2020-07-28,MOUNT ALEXANDER,7,1
2020-07-28,CAMPASPE,6,1
2020-07-28,OVERSEAS,6,1
2020-07-28,SWAN HILL,6,2
2020-07-28,WARRNAMBOOL,6,1
